label,meeting_date,meeting_no,ministry,topic,news_count,question_type,evidence_score,candidate_score,top_title,question_text
약함,2025-09-09,41,금융위원회,금융위원회·조직개편·앞둔,1,현황 질문,3,0.508,조직개편 앞둔 금융위원회,"서민금융 1,145억은 명절 자금하고는 달리 서민들에게 금융 기회를 주는 것인데, 이건 이자가 훨씬 더 비싼 것인지?"
약함,2025-07-15,31,기획재정부,기재부·예산·기능,1,예산/재정 확인,3,0.508,"[국정기획위] 기재부 등 정부조직개편 초안 대통령 보고…""대통령실 이...","그리고 전에도 한번 얘기했는데, 그것이 “예산 부족이다.” 이러면 예산은 특교로 보내주던지, 나중에 ""돈 없어서 못 했다."" 이런 소리 못 하게 하는 게 좋겠음. 그리고 제가 뉴스에서 봤는데 수로원이 보수도 높고, 인기가 제일 많았음. 그런데 그 사람들이 그 수없이 많은 맨홀, 우수관을 어떻게 관리하는 것인지?"
약함,2025-07-15,31,국토교통부,이주비·대출·오세훈,1,현황 질문,3,0.508,"오세훈 ""이주비 대출 규제로 인한 공급 지연 걱정...지원책 고민""",독거노인이나 이런 데는 공급 사업을 하고 있는지?
약함,2026-03-24,11,행정안전부,대전·공장·화재,5,부처협의 확인,2,0.579,"윤호중 행안부 장관, 대전 공장 화재 중대본 회의 주재","지방정부 지출 구조조정이 사실 민원 때문에 어려운 부분이 있음. 중앙 정부는 그래도 좀 약간 떨어져 있긴 한데, 지방정부들은 주민과 직접 접촉하기 때문에 불필요하거나 효율성이 떨어져서 좀 바꾸려고 하면 저항이 심해서 못하는 경우가 있음. 그런데 그럴 경우는 아예 지침을 만들어 줘서 “시켜서 했다.”, “정부에서 시키는데 어떡하냐!” 이런 핑계를 댈 수 있게 만들면 좋겠음."
약함,2026-03-24,11,행정안전부,대전·공장·화재,5,관리 지시,2,0.579,"윤호중 행안부 장관, 대전 공장 화재 중대본 회의 주재","이번 BTS 공연은 광화문 홍보와 더불어 대한민국 홍보에서는 아마 결정적이었던 것 같음. 기획을 잘해서 잘 진행하셨음. 행안부나 관련 부처들도 고생 많았고, 안전 문제를 잘 챙겨서 사고 없이 잘하신 것 같음."
약함,2025-06-24,27,행정안전부,행정안전부·김민재·직무대행,4,검토결과 확인,2,0.564,"김민재 행정안전부 장관 직무대행, 중앙재난안전상황실 점검","이것은 개선이 좀 필요할 것 같음. 옛날에는 연금 혜택이 많았는데 요즘은 혜택도 별로 없고..., 전에 제가 안전분야 얘기할 때 안전분야 종사자들 수당을 좀 올려주자고 행안부에 얘기는 했던 것 같은데 검토하셨는지?"
약함,2025-06-24,27,행정안전부,행정안전부·김민재·직무대행,4,검토결과 확인,2,0.564,"김민재 행정안전부 장관 직무대행, 중앙재난안전상황실 점검",안전관리부서는 사실 책임이 너무 큼. 사고가 나면 구속되게 생겼는데 그 위험부담을 공무원 개인에게 지라고 하면 누가 안전부서에 가겠는지? 그러니 책임을 강화하는 대신 보상과 조건도 강화해 주는 것을 검토해 보시기 바람.
약함,2025-06-24,27,행정안전부,호우·행정안전부·김민재,4,검토결과 확인,2,0.564,"김민재 장관 직무대행, 호우 대처상황 점검","이것은 개선이 좀 필요할 것 같음. 옛날에는 연금 혜택이 많았는데 요즘은 혜택도 별로 없고..., 전에 제가 안전분야 얘기할 때 안전분야 종사자들 수당을 좀 올려주자고 행안부에 얘기는 했던 것 같은데 검토하셨는지?"
약함,2025-06-24,27,행정안전부,호우·행정안전부·김민재,4,검토결과 확인,2,0.564,"김민재 장관 직무대행, 호우 대처상황 점검",안전관리부서는 사실 책임이 너무 큼. 사고가 나면 구속되게 생겼는데 그 위험부담을 공무원 개인에게 지라고 하면 누가 안전부서에 가겠는지? 그러니 책임을 강화하는 대신 보상과 조건도 강화해 주는 것을 검토해 보시기 바람.
약함,2026-03-24,11,행정안전부,박성재·법무부·내란,3,부처협의 확인,2,0.546,"박성재 전 법무부 장관, 내란 가담 등 재판 출석","지방정부 지출 구조조정이 사실 민원 때문에 어려운 부분이 있음. 중앙 정부는 그래도 좀 약간 떨어져 있긴 한데, 지방정부들은 주민과 직접 접촉하기 때문에 불필요하거나 효율성이 떨어져서 좀 바꾸려고 하면 저항이 심해서 못하는 경우가 있음. 그런데 그럴 경우는 아예 지침을 만들어 줘서 “시켜서 했다.”, “정부에서 시키는데 어떡하냐!” 이런 핑계를 댈 수 있게 만들면 좋겠음."
약함,2026-03-24,11,행정안전부,박성재·법무부·내란,3,관리 지시,2,0.546,"박성재 전 법무부 장관, 내란 가담 등 재판 출석","이번 BTS 공연은 광화문 홍보와 더불어 대한민국 홍보에서는 아마 결정적이었던 것 같음. 기획을 잘해서 잘 진행하셨음. 행안부나 관련 부처들도 고생 많았고, 안전 문제를 잘 챙겨서 사고 없이 잘하신 것 같음."
약함,2026-02-03,4,행정안전부,통영시·02·김광용,3,관리 지시,2,0.546,"김광용 재난안전관리본부장, 통영시 욕지댐 가뭄 선제 대응 현장점검","햇빛 소득이나 바람 소득 사업은 아주 작은 단위로 전국에 산재하는데, 손이 많이 가는 사업일 것임. 행안부와 농식품부에서 속도를 내서 챙겨주시기를 바람. 그리고, 소규모 태양광 발전 사업소 여러 군데를 만드는 것과 대규모 발전 시설을 만드는 경우의 생산 원가, 발전 단가는 어느 정도 차이가 나는지?"
약함,2026-01-27,3,국토교통부,지난해·전국·25,3,대안 요구,2,0.546,지난해 전국 땅값 2.25% 상승,"많은 국민께서 기대하시는 것처럼 경제 상황이 조금씩 개선되고 있음. 코스피·코스닥을 포함해서 자본시장도 또 주식시장도 정상화의 길을 제대로 가고 있는 것 같음. 오랜 시간 홀대받은 우리 자본시장이 미래 혁신산업 성장, 건전한 국민 자산 증식을 위한 든든한 토대로 거듭나고 있음. 자본시장 정상화 발목을 잡는 여러 가지 불합리한 제도들도 계속해서 신속히 개선해 나감으로써 생산적 금융으로의 전환을 한층 가속화해야 되겠음. 주식시장의 흐름이 경제 체질의 구조적 변화로 이어지려면 국민의 삶과 직결된 실물 경제의 안정적인 성장도 뒷받침돼야 되겠음. 이는 성장의 기회와 과실이 국민 경제 전반으로 널리 확산하고, 특히 중소기업과 벤처·스타트업 등이 혁신과 도전을 선도하는 새로운 핵심적인 경제 주체로 거듭나야 가능한 일임. 정부는 대·중소기업 상생 성장 기반 강화 또 벤처·스타트업 창업 활성화, 재도전 친화형 생태계 구축에 정책적인 역량을 집중해 주시기 바람. 거기에 더해서 우리 사회의 심각한 문제"
약함,2026-01-20,2,행정안전부,대비·한파·대설,3,검토결과 확인,2,0.546,"김광용 재난안전관리본부장, 한파·대설 대비 관계기관 대책회의",잘하셨음. 그런 노력들이 결과를 만들어내는 것임. 행안부는 ”복합민원 원스톱 신청 처리“ 이것은 정말 중요한 것임.
약함,2025-11-04,48,행정안전부,행정안전부·이태원·구역,3,검토결과 확인,2,0.546,이태원 인파 밀집 구역 점검하는 윤호중 행정안전부 장관,"알겠음. 지금 9‧19 군사합의 관련하여 “DMZ 5km 이내에는 군사 훈련하지 않는다.″ 그리고 “얼마까지는 비행하지 않는다.″ 이렇게 되어 있는데, 현재 지켜지지 않고 있는 것 같음. 그런데 사실 비행안전구역을 벗어나도 대북 감시 활동에는 지장이 없는 것 아닌지? - 국가안보실제1차장 김현종 합참과 국방부에서는 다소 영향이 있다고 판단하고 있어 추가 검토가 필요하다고 보고 있음."
약함,2025-11-04,48,행정안전부,행정안전부·이태원·구역,3,부처협의 확인,2,0.546,이태원 인파 밀집 구역 점검하는 윤호중 행정안전부 장관,"빠르게 보고 바람. 각 부처에서 업무할 때 속도를 내주셔야 함. 검토, 용역, 논의, 조정하면서 세월 다 보내면 할 수 있는 게 없음. 명확한 방침이 설정되면 신속하게 업무를 처리해 주시기 바람. 다음 행안부는 민선자치 30주년, 지방자치 혁신 부분에 고민을 많이 해 주셔야 할 것 같음. 국제 치안 협력 등 경찰의 치안 역량 강화는 전에 비상대책기구 만들어 놓은 게 있으니까 잘해 주시고, 경찰의 사건 처리가 늦어진다는 지적이 많은데, 경찰 수사의 공정성이나 부실 수사에 대한 것은 어떻게 할 것인지 고민해야 할 것 같음. 우리 정부에서는 대규모 시위나 그런 게 없을 것 같으니, 인력 재배치를 하든지 해야 할 것 같음."
약함,2025-11-04,48,행정안전부,행정안전부·이태원·구역,3,관리 지시,2,0.546,이태원 인파 밀집 구역 점검하는 윤호중 행정안전부 장관,고민해 주시기 바람. 그리고 행정안전부가 각별히 신경 써야 할 지방 우대 정책은 어떻게 할 것인지?
약함,2025-11-04,48,행정안전부,행정안전부·이태원·구역,3,대안 요구,2,0.546,이태원 인파 밀집 구역 점검하는 윤호중 행정안전부 장관,"잘 정리하시기 바람. 그리고 인력 지원하는 것은 잘 되고 있을 것 같고, 지방정부의 조사 권한을 일부 위임하는 것은 하고 있는지?"
약함,2025-11-04,48,행정안전부,행정안전부·이태원·구역,3,부처협의 확인,2,0.546,이태원 인파 밀집 구역 점검하는 윤호중 행정안전부 장관,"모든 부처가 인력이 필요한 상태인데, 행안부하고 협의해 보시기 바람. 다음 보고 바람."
약함,2025-09-30,44,기획재정부,중앙사고수습본부·구윤철·경제부총리,3,대안 요구,2,0.546,"구윤철 경제부총리, 중앙사고수습본부 회의","저는 통제력 상실로 정부가 작동하지 않은 측면이 강한 것 같음. 예를 들면 물가라고 하는 게 사실 담합 가능성도 높음. 우리나라의 유통망은 대부분 독점화되어 있어서 정부가 강력하게 작동하면 정부 눈치를 보는데, 정부가 관심을 안 가진다든지, 통제를 안 한다고 확신하면 가격을 마음대로 올려버림. 대한민국이 OECD 국가들보다 1.5배가 높다고 하는 것은 이해할 수 없음. 그중에 특히 식료품‧생활용품 가격만 유난히 높은 게 이상함. 제가 말씀드리고 싶은 것은 정부가 제대로 관리하고, 지도하고, 개입하면 상당 정도는 완화할 수 있지 않을까 생각함."
약함,2025-09-30,44,기획재정부,중앙사고수습본부·구윤철·경제부총리,3,대안 요구,2,0.546,"구윤철 경제부총리, 중앙사고수습본부 회의","어떤 특정한 목적을 위해서 제도를 설정했는데, 그 목적 달성 효과보다 그것을 악용해서 폐해가 더 크면 시정해야 함. 각 부처도 마찬가지임. 지금 얘기를 들어 보니까 다른 나라보다도 설탕 가격이 불합리하게 더 비싼 이유가 국내에서 생산되기 때문인데, 만약에 국내 산업 보호라는 측면이 꼭 필요하면 감수해야 하는데, 이게 부당하게 이익을 취하면서 국민들한테 물가 부담을 시킨다면 그런 제도를 보완해야지 유지할 필요가 없음. 예를 들면, “국내에 영세농이 많으니까 어쩔 수가 없잖아요.” 그게 아니고, 어떤 유통 구조의 문제나 제도를 악용하는 문제가 있다고 하면 그것을 찾아서 빨리 시정해야 함. 공정위 안에서만 시정할 수 있는 것만 하지 말고 제도를 바꾸거나 이런 것은 얼마든지 가능하니까 국무회의에 제안도 해 주시기 바람. 다음 농식품부."
약함,2025-09-02,40,금융위원회,예금보호한도·1억원·으로,3,대안 요구,2,0.546,예금보호한도 '1억원'으로 상향,"좋은 지적임. 수출 다변화, 지역 다변화가 중요함. 그런데 수출 기업들이 여러 가지 어려움들이 있어서 그 지원 항목에 수출 금융이 있음. 수출 금융을 원하는 기업들이 많은데 다 커버하지 못하는 상황인 것 같음. 이번에 미국이 관세로 압박하는 것을 보니, 우리가 미국에 수출 의존도가 높으니 그런 것 같음. 물론 불가피한 면도 있지만 가능한 범위 내에서라면 수출국 다변화에 주력해야 할 것 같음. 새로운 수출국 개발이나 수출 품목 개발을 지원하는 방식으로 차등을 두거나 우선 지원하는 등을 검토하고, 금융에서 우선순위를 부여하는 방법 등도 검토하고 있는가?"
약함,2025-09-02,40,금융위원회,예금보호한도·1억원·으로,3,대안 요구,2,0.546,예금보호한도 '1억원'으로 상향,"금융 지원도 강화하고 외교 공관들 역할을 수출 첨단 교두보처럼 운영해 보는 것도 좋을 것 같음. 수출 기업들 지원하는 KOTRA 그리고 해외 대사관, 영사관, 문화원들을 잘 활용하는 것이 중요할 것 같음."
약함,2025-08-12,36,기획재정부,김윤덕·장관과·구윤철,3,검토결과 확인,2,0.546,김윤덕 장관과 대화하는 구윤철 경제부총리,한강에 다리가 열 몇 개가 있는데 왜 일산대교만 돈 내고 다니는지? 다 똑같이 세금 낸 사람인데. 그래서 적정 가격으로 인수하는 것을 검토 한번 해보시기 바람.
약함,2025-07-29,33,금융위원회,보이스피싱·근절을·위한,3,검토결과 확인,2,0.546,보이스피싱 근절을 위한 현장 간담회,"금융위 제안이 아주 재미있는 것 같음. 투자 기준이 되는 여러 가지 항목 중에 ESG 평가 결과가 영향을 크게 미침. 대형 펀드, 글로벌 펀드들은 이것을 중시하는 경향이 있는데, 평가에 이 반영을 좀 세게 하자는 말인지?"
약함,2025-07-29,33,국토교통부,서울·아파트·월세,3,검토결과 확인,2,0.546,"월세 수요, 3년 8개월 만에 최고","전담 지휘자를 둔 것인데, 전담 팀을 두는 걸 검토해 보시면 어떻겠음? 사람이 일하다 죽는 사건은 단순하게 교통사고와는 다름. 대부분 명백한 과실임. 어디에 보니까 천장 철거할 때 비계를 천장까지 설치해야 되는데 그걸 안 하고, 천장 위에서 철거하다가 떨어졌음. 당연히 떨어질 위험성이 높은 것임. 산재 사망사고는 노하우가 필요하니까 전담팀이나 부서를 하나 두든지 해서 일률적으로 모아서 해야 함. 산업안전법을 숙지 해야 하는데 이 경찰이 했다가 저 경찰이 했다가, 이 검사가 했다가 저 검사가 했다가 하면 공부하느라 시간이 많이 걸릴 것임. 아예 전문 역량을 가진 팀을 짜서 교육을 시킨 다음에 팀으로 하는 것을 연구해 보시기 바람."
약함,2026-03-17,10,행정안전부,재일동포·단장·간담회에,2,대안 요구,2,0.522,재일동포 간담회에 참석한 윤호중 장관,금융 부분도 지방 우대정책이 가능한 게 있지 않는지?
약함,2026-03-17,10,행정안전부,재일동포·단장·간담회에,2,대안 요구,2,0.522,재일동포 간담회에 참석한 윤호중 장관,"금융·세제·규제 완화는 말할 것도 없고, 교육·문화·정주 여건 등이 매우 중요할 것 같음. 그리고 국내 생산 촉진 세제 도입할 때 지방에 더 지원해 주는 방법도 있지 않은지?"
약함,2026-03-17,10,행정안전부,재일동포·단장·간담회에,2,관리 지시,2,0.522,재일동포 간담회에 참석한 윤호중 장관,"주관은 행안부가 하고, 빠지는 데가 없는지 잘 챙겨봐 주시기 바람."
약함,2026-03-17,10,행정안전부,재일동포·단장·간담회에,2,대안 요구,2,0.522,재일동포 간담회에 참석한 윤호중 장관,"“지방 어디로 가시면 반값 여행이 가능하고, 어떤 호텔을 가면 얼마다.” 이런 것을 해줘야 함."
약함,2026-03-17,10,행정안전부,지진체험시설·시찰하는·윤호중,2,대안 요구,2,0.522,지진체험시설 시찰하는 윤호중 장관,금융 부분도 지방 우대정책이 가능한 게 있지 않는지?
약함,2026-03-17,10,행정안전부,지진체험시설·시찰하는·윤호중,2,대안 요구,2,0.522,지진체험시설 시찰하는 윤호중 장관,"금융·세제·규제 완화는 말할 것도 없고, 교육·문화·정주 여건 등이 매우 중요할 것 같음. 그리고 국내 생산 촉진 세제 도입할 때 지방에 더 지원해 주는 방법도 있지 않은지?"
약함,2026-03-17,10,행정안전부,지진체험시설·시찰하는·윤호중,2,관리 지시,2,0.522,지진체험시설 시찰하는 윤호중 장관,"주관은 행안부가 하고, 빠지는 데가 없는지 잘 챙겨봐 주시기 바람."
약함,2026-03-17,10,행정안전부,지진체험시설·시찰하는·윤호중,2,대안 요구,2,0.522,지진체험시설 시찰하는 윤호중 장관,"“지방 어디로 가시면 반값 여행이 가능하고, 어떤 호텔을 가면 얼마다.” 이런 것을 해줘야 함."
약함,2026-03-17,10,고용노동부,2026년·2월·고용행정,2,대안 요구,2,0.522,"노동부, 2026년 2월 고용행정 통계로 본 노동시장 동향 발표","지금까지 중소기업 지원 정책은 생존하라고 지원해 준 게 많음. 그렇게 하면 점점 나빠지기 때문에 과감하게 걷어내고 대체 산업을 키워야 함. 대체 기업들의 일자리는 보다 나은 미래형으로 바뀌어야 하는데, 그러려면 재교육도 하고 기업인들의 마인드도 바뀌어야 함. 인공지능화가 이러한 변화 중 하나겠지만, 단순히 지원받는 것에서 벗어날 필요가 있음. 창업이든 또 성장이든 새로운 새싹이 돋는 일을 해야 할 것 같음."
약함,2026-02-24,6,행정안전부,산불·행정안전부·행안부,2,대안 요구,2,0.522,"행안부, 함양 산불 상황 회의","그리고 지금 지방 단위로 지원을 똑같이 하고 있는데, “수도권에서 또 대도시에서 멀수록 지원을 늘린다.”라는 원칙으로 보완이 필요할 것 같음."
약함,2026-02-24,6,행정안전부,산불·행정안전부·행안부,2,대안 요구,2,0.522,"행안부, 함양 산불 상황 회의","지방정부 차원에서 하는 것도 지원해야 하니, 행안부도 열심히 준비해 주시기 바람. 그리고 농어촌 기본소득은 시행한 지 몇 달 안 돼서 초기이기는 하지만, 예측하건대 상당한 효과가 있을 것이고, 확대해서 시스템을 좀 갖춰야 하는데, 시범 사업을 2년 동안 한다는 것인지? 이것은 안 할 수가 없을 것인데, 앞으로 농어촌 기본소득법을 만들든지, 뭔가 준칙을 만들어야 할 것 같음. 준비를 잘해주시고, 국토 균형 발전이 중요하니 수도권에서 먼 경우 더 지원하는 균형 지원도 고려하시기 바람."
약함,2026-02-24,6,행정안전부,산불·행정안전부·행안부,2,관리 지시,2,0.522,"행안부, 함양 산불 상황 회의","그런 기반 시설이 잘 갖춰져야 햇빛 연금 사업도 활발하게 진행될 것임. 그리고 신안군은 매우 모범적인 사례인데, “해당 지역의 발전 사업을 주민들 스스로 하거나, 외부 사업자가 할 경우 30%는 지역 주민에게 할당한다.” 이런 사례처럼, 행안부에서는 다른 지방정부에도 뭔가 방법을 강구해야 할 것 같고, 더 중요한 것은 정부 차원에서 입법으로 최소한의 기준을 만들어줘야 하지 않는지? 지자체장들의 능력이나 의지의 차이가 있고, 또 문제는 지방행정이 투명하고 민주적이면 당연히 “주민들한테 어떻게 이익을 더 많이 줄까?” 해서 어떻게든 확보하려는 것도 있겠지만, 이것이 이권 사업이 돼서 뒤에서 불법 거래를 하는 경우도 생길 수 있음. 그러므로 법무부에서도 이러한 부분을 잘 챙겨야 하고, 정부 차원에서 일정한 지침을 만들어야 할 것 같음."
약함,2026-02-24,6,행정안전부,산불·행정안전부·행안부,2,검토결과 확인,2,0.522,"행안부, 함양 산불 상황 회의","불법 점용 전국 조사 결과가 835건이라는 것이 믿어지시는지? 제가 경기도에서 조사했을 때 이것보다 훨씬 많았던 것 같은데, 835건밖에 안 될 리가 없음. 지방정부에 다시 한번 기회를 줘서 추가 조사를 하게 하고, 그다음에 전국적으로 감찰을 해서 누락된 경우에는 담당 공무원과 지방정부에 대해서 엄중문책하고, 규모가 큰 경우에는 직무유기로 처벌하시기 바람."
약함,2026-02-24,6,행정안전부,산불·행정안전부·행안부,2,대안 요구,2,0.522,"행안부, 함양 산불 상황 회의","알아보시고, 행정을 할 때는 “뭘 해라!”라고 하는 것도 좋은데, 안 따를 때는 어떤 제재가 있어야 하고, 부족하다면 제재를 강화하든지 아니면 새로 만들어야 함. 그런데 지금 우리 행정을 보면, 그냥 속된 말로 뭉개는 경우가 많음. 아까 농지 매각 명령처럼, “어떻게 땅을 팔라고 해?”라는 생각을 공무원들이 하는 것 같음. 그러면 그 법을 뭐 하러 만든 건인지? 이것도 제재 방안을 확실하게 강구하고, 만약에 안 되면 그 제재 명령을 안 따른 데 대한 제재를 또 해야 함. 그래야 행정의 권위가 섦."
약함,2026-02-24,6,행정안전부,산불·안전·대응,2,대안 요구,2,0.522,산불 대응 상황 점검하는 김광용 행안부 안전 차관,"그리고 지금 지방 단위로 지원을 똑같이 하고 있는데, “수도권에서 또 대도시에서 멀수록 지원을 늘린다.”라는 원칙으로 보완이 필요할 것 같음."
약함,2026-02-24,6,행정안전부,산불·안전·대응,2,대안 요구,2,0.522,산불 대응 상황 점검하는 김광용 행안부 안전 차관,"지방정부 차원에서 하는 것도 지원해야 하니, 행안부도 열심히 준비해 주시기 바람. 그리고 농어촌 기본소득은 시행한 지 몇 달 안 돼서 초기이기는 하지만, 예측하건대 상당한 효과가 있을 것이고, 확대해서 시스템을 좀 갖춰야 하는데, 시범 사업을 2년 동안 한다는 것인지? 이것은 안 할 수가 없을 것인데, 앞으로 농어촌 기본소득법을 만들든지, 뭔가 준칙을 만들어야 할 것 같음. 준비를 잘해주시고, 국토 균형 발전이 중요하니 수도권에서 먼 경우 더 지원하는 균형 지원도 고려하시기 바람."
약함,2026-02-24,6,행정안전부,산불·안전·대응,2,관리 지시,2,0.522,산불 대응 상황 점검하는 김광용 행안부 안전 차관,"그런 기반 시설이 잘 갖춰져야 햇빛 연금 사업도 활발하게 진행될 것임. 그리고 신안군은 매우 모범적인 사례인데, “해당 지역의 발전 사업을 주민들 스스로 하거나, 외부 사업자가 할 경우 30%는 지역 주민에게 할당한다.” 이런 사례처럼, 행안부에서는 다른 지방정부에도 뭔가 방법을 강구해야 할 것 같고, 더 중요한 것은 정부 차원에서 입법으로 최소한의 기준을 만들어줘야 하지 않는지? 지자체장들의 능력이나 의지의 차이가 있고, 또 문제는 지방행정이 투명하고 민주적이면 당연히 “주민들한테 어떻게 이익을 더 많이 줄까?” 해서 어떻게든 확보하려는 것도 있겠지만, 이것이 이권 사업이 돼서 뒤에서 불법 거래를 하는 경우도 생길 수 있음. 그러므로 법무부에서도 이러한 부분을 잘 챙겨야 하고, 정부 차원에서 일정한 지침을 만들어야 할 것 같음."
약함,2026-02-24,6,행정안전부,산불·안전·대응,2,검토결과 확인,2,0.522,산불 대응 상황 점검하는 김광용 행안부 안전 차관,"불법 점용 전국 조사 결과가 835건이라는 것이 믿어지시는지? 제가 경기도에서 조사했을 때 이것보다 훨씬 많았던 것 같은데, 835건밖에 안 될 리가 없음. 지방정부에 다시 한번 기회를 줘서 추가 조사를 하게 하고, 그다음에 전국적으로 감찰을 해서 누락된 경우에는 담당 공무원과 지방정부에 대해서 엄중문책하고, 규모가 큰 경우에는 직무유기로 처벌하시기 바람."
약함,2026-02-24,6,행정안전부,산불·안전·대응,2,대안 요구,2,0.522,산불 대응 상황 점검하는 김광용 행안부 안전 차관,"알아보시고, 행정을 할 때는 “뭘 해라!”라고 하는 것도 좋은데, 안 따를 때는 어떤 제재가 있어야 하고, 부족하다면 제재를 강화하든지 아니면 새로 만들어야 함. 그런데 지금 우리 행정을 보면, 그냥 속된 말로 뭉개는 경우가 많음. 아까 농지 매각 명령처럼, “어떻게 땅을 팔라고 해?”라는 생각을 공무원들이 하는 것 같음. 그러면 그 법을 뭐 하러 만든 건인지? 이것도 제재 방안을 확실하게 강구하고, 만약에 안 되면 그 제재 명령을 안 따른 데 대한 제재를 또 해야 함. 그래야 행정의 권위가 섦."
약함,2026-02-10,5,행정안전부,김광용·산불·행정안전부,2,대안 요구,2,0.522,"김광용 행안부 재난안전관리본부장, 경주 산불 상황판단회의","이번 주말부터 설 명절이 시작됨. 모든 관계 부처는 국민들께서 편안하고 즐겁게 연휴를 보내실 수 있도록 안전대책을 철저하게 수립하고, 위급한 상황에 대비해서 비상 대응체계를 이중 삼중으로 철저하게 점검해 주시기 바람. 특히 최근에 가축전염병이 확산이 돼서 농가의 시름이 크고, 민족 대이동 시기인 만큼 방역 상황이 악화되지 않게 가축방역 기관과 해당 지자체의 역량을 최대한 투입해서 집중해 주시기 바람. 지난 1월은 통계를 작성한 73년 이래 상대습도가 가장 낮은 건조한 날씨였다고 함. 산불 발생 가능성이 훨씬 높고 또 발생하면 진화하기도 어려운 상황임. 앞으로도 이런 상황이 계속될 가능성이 높기 때문에 산불 예방에 더 힘써주시기 바람. 국민 여러분께서도 입산하시거나 산 인근에서 소각 작업을 할 경우에 산불로 이어지지 않도록 각별히 신경 써주시기를 부탁드림. 언제나 말씀드리지만, 국민 안전에 관한 한 지나친 것이 모자람보다 100배 나으니, 철저하게 대비해 주시기를 부탁드림. 웬만하면 "
약함,2026-02-03,4,행정안전부,전국·대설·대비,2,관리 지시,2,0.522,전국 대설·한파 대비 관계기관 대책회의,"햇빛 소득이나 바람 소득 사업은 아주 작은 단위로 전국에 산재하는데, 손이 많이 가는 사업일 것임. 행안부와 농식품부에서 속도를 내서 챙겨주시기를 바람. 그리고, 소규모 태양광 발전 사업소 여러 군데를 만드는 것과 대규모 발전 시설을 만드는 경우의 생산 원가, 발전 단가는 어느 정도 차이가 나는지?"
약함,2026-02-03,4,법무부,법무부·정성호·화성직업훈련교도소,2,대안 요구,2,0.522,"정성호 법무부 장관, 화성직업훈련교도소 방문",범죄 수익 몰수 추징과 과징금은 병과가 가능한 것인지?
약함,2026-01-27,3,국토교통부,서울·지난해·전국,2,대안 요구,2,0.522,지난해 전국 땅값 2.25% 올라…서울 강남이 상승률 1위,"많은 국민께서 기대하시는 것처럼 경제 상황이 조금씩 개선되고 있음. 코스피·코스닥을 포함해서 자본시장도 또 주식시장도 정상화의 길을 제대로 가고 있는 것 같음. 오랜 시간 홀대받은 우리 자본시장이 미래 혁신산업 성장, 건전한 국민 자산 증식을 위한 든든한 토대로 거듭나고 있음. 자본시장 정상화 발목을 잡는 여러 가지 불합리한 제도들도 계속해서 신속히 개선해 나감으로써 생산적 금융으로의 전환을 한층 가속화해야 되겠음. 주식시장의 흐름이 경제 체질의 구조적 변화로 이어지려면 국민의 삶과 직결된 실물 경제의 안정적인 성장도 뒷받침돼야 되겠음. 이는 성장의 기회와 과실이 국민 경제 전반으로 널리 확산하고, 특히 중소기업과 벤처·스타트업 등이 혁신과 도전을 선도하는 새로운 핵심적인 경제 주체로 거듭나야 가능한 일임. 정부는 대·중소기업 상생 성장 기반 강화 또 벤처·스타트업 창업 활성화, 재도전 친화형 생태계 구축에 정책적인 역량을 집중해 주시기 바람. 거기에 더해서 우리 사회의 심각한 문제"
약함,2025-12-16,54,보건복지부,제18차·정은경·보건복지부,2,대안 요구,2,0.522,제18차 한·중·일 보건장관회의 발언하는 정은경 장관,"오늘부터 정부 부처에 대한 2주 차 업무보고가 시작됨. 최초로 생중계되는 업무보고에 대한 국민들의 관심이 매우 높음. 물론 각 부처 공무원들 입장에서는 새로운 방식에 익숙하지 않을 수 있고, 또 예년과 같은 형태로 업무보고 하면 아마 편할 수도 있을 것임. 그런데 정책 과정이 투명하게 검증되어야 하고 또 그 과정에서 집단지성이 모여야 정책에 대한 신뢰도도 커짐. 그래야 국정의 완성도 또한 높아질 수 있음. 이번 정부에서 이전과 달리 국민들이 모두 지켜보는 가운데 업무보고를 하는 이유는 바로 이 때문임. 국정의 주체인 국민들에게 투명하게 공개되어야 ‘국민 중심의 국정 운영’이라는 게 말에 그치지 않고 제대로 될 수가 있음. 그래야 ‘국민 주권'이라고 하는 것도 내실화될 수 있을 것임. 정부 각 부처는 이를 업무보고 단계부터 실천하겠다는 마음가짐으로 남은 업무보고를 잘 준비해 주시기 바람. 이런 것도 연습하다 보면 나중에 다 좋아질 것임. 다른 모든 일도 마찬가지지만, 국정도 결국은 사"
약함,2025-12-02,52,행정안전부,김광용·강설·한파,2,관리 지시,2,0.522,"김광용 재난안전관리본부장, 강설·한파 대비 관계기관 점검회의 주재","자살 문제에 대해서 일본은 효과가 상당히 있었다고 하는데, 그걸 한번 챙겨 보시기 바람. 어쨌든 1년에 1만 5,000명 가까이 세상을 떠난다는 것은 너무 잔인한 일임. 조금 더 속도를 내주시면 좋을 것 같음. 지방정부나 관련 기관 단체들의 인력 문제도 꽤 있는 것 같은데?"
